"Group","Variable","Units","Description"
"AIRCRAFT ENGINE VARIABLES", "TURB ENG CONDITION LEVER POSITION:3", "enum", "When the throttle is on idle position, this sets the condition levers to one of 3 positions to define the idle N1 target for the indexed engine (see note): Down position is the cut-off position that cuts the fuel to the engine, effectively shutting down the engine. Middle position requires N1 to reach the low idle value when throttle is in idle position (low idle value can be checked using the TURB_ENG_LOW_IDLE SimVar). High position requires N1 to reach the high idle value when throttle is in idle position (high idle value can be checked using the TURB_ENG_HIGH_IDLE SimVar). Note that this option requires several settings from the engines.cfg file to be set to specific values before working correctly: DisableMixtureControls needs to be set to 1 (TRUE). tp_idle_range should be set to 0 (since there is no mixture setting). idle_fuel_flow and idle_high_fuel_flow must be set to the same value (since there is no mixture setting to induce a variation between the 2). low_idle_n1 and high_idle_n1 to be correctly set."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG CONDITION LEVER POSITION:4", "enum", "When the throttle is on idle position, this sets the condition levers to one of 3 positions to define the idle N1 target for the indexed engine (see note): Down position is the cut-off position that cuts the fuel to the engine, effectively shutting down the engine. Middle position requires N1 to reach the low idle value when throttle is in idle position (low idle value can be checked using the TURB_ENG_LOW_IDLE SimVar). High position requires N1 to reach the high idle value when throttle is in idle position (high idle value can be checked using the TURB_ENG_HIGH_IDLE SimVar). Note that this option requires several settings from the engines.cfg file to be set to specific values before working correctly: DisableMixtureControls needs to be set to 1 (TRUE). tp_idle_range should be set to 0 (since there is no mixture setting). idle_fuel_flow and idle_high_fuel_flow must be set to the same value (since there is no mixture setting to induce a variation between the 2). low_idle_n1 and high_idle_n1 to be correctly set."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG CORRECTED FF:1", "pounds per hour", "Corrected fuel flow for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG CORRECTED FF:2", "pounds per hour", "Corrected fuel flow for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG CORRECTED FF:3", "pounds per hour", "Corrected fuel flow for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG CORRECTED FF:4", "pounds per hour", "Corrected fuel flow for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG CORRECTED N1:1", "percent", "The indexed turbine engine (see note) corrected N1."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG CORRECTED N1:2", "percent", "The indexed turbine engine (see note) corrected N1."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG CORRECTED N1:3", "percent", "The indexed turbine engine (see note) corrected N1."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG CORRECTED N1:4", "percent", "The indexed turbine engine (see note) corrected N1."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG CORRECTED N2:1", "percent", "The indexed turbine engine (see note) corrected N2."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG CORRECTED N2:2", "percent", "The indexed turbine engine (see note) corrected N2."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG CORRECTED N2:3", "percent", "The indexed turbine engine (see note) corrected N2."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG CORRECTED N2:4", "percent", "The indexed turbine engine (see note) corrected N2."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG FREE TURBINE TORQUE:1", "foot pounds", "The amount of free torque for the indexed turbine engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG FREE TURBINE TORQUE:2", "foot pounds", "The amount of free torque for the indexed turbine engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG FREE TURBINE TORQUE:3", "foot pounds", "The amount of free torque for the indexed turbine engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG FREE TURBINE TORQUE:4", "foot pounds", "The amount of free torque for the indexed turbine engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG FUEL AVAILABLE:1", "bool", "True if fuel is available for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG FUEL AVAILABLE:2", "bool", "True if fuel is available for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG FUEL AVAILABLE:3", "bool", "True if fuel is available for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG FUEL AVAILABLE:4", "bool", "True if fuel is available for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG FUEL FLOW PPH:1", "pounds per hour", "The indexed engine (see note) fuel flow rate."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG FUEL FLOW PPH:2", "pounds per hour", "The indexed engine (see note) fuel flow rate."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG FUEL FLOW PPH:3", "pounds per hour", "The indexed engine (see note) fuel flow rate."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG FUEL FLOW PPH:4", "pounds per hour", "The indexed engine (see note) fuel flow rate."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG HIGH IDLE:1", "percent", "Retrieves the high idle N1 value to be reached by the the indexed turboprop engine (see note) with throttle in idle position and condition lever in high idle position (condition lever position can be checked or set using the TURB_ENG_CONDITION_LEVER_POSITION SimVar)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG HIGH IDLE:2", "percent", "Retrieves the high idle N1 value to be reached by the the indexed turboprop engine (see note) with throttle in idle position and condition lever in high idle position (condition lever position can be checked or set using the TURB_ENG_CONDITION_LEVER_POSITION SimVar)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG HIGH IDLE:3", "percent", "Retrieves the high idle N1 value to be reached by the the indexed turboprop engine (see note) with throttle in idle position and condition lever in high idle position (condition lever position can be checked or set using the TURB_ENG_CONDITION_LEVER_POSITION SimVar)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG HIGH IDLE:4", "percent", "Retrieves the high idle N1 value to be reached by the the indexed turboprop engine (see note) with throttle in idle position and condition lever in high idle position (condition lever position can be checked or set using the TURB_ENG_CONDITION_LEVER_POSITION SimVar)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG IGNITION SWITCH", "bool", "True if the the indexed turbine engine (see note) ignition switch is on."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG IGNITION SWITCH EX1:1", "enum", "Position of the the indexed turbine engine (see note) Ignition Switch. Similar to TURB_ENG_IGNITION_SWITCH but differentiates between ON and AUTO."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG IGNITION SWITCH EX1:2", "enum", "Position of the the indexed turbine engine (see note) Ignition Switch. Similar to TURB_ENG_IGNITION_SWITCH but differentiates between ON and AUTO."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG IGNITION SWITCH EX1:3", "enum", "Position of the the indexed turbine engine (see note) Ignition Switch. Similar to TURB_ENG_IGNITION_SWITCH but differentiates between ON and AUTO."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG IGNITION SWITCH EX1:4", "enum", "Position of the the indexed turbine engine (see note) Ignition Switch. Similar to TURB_ENG_IGNITION_SWITCH but differentiates between ON and AUTO."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG IS IGNITING:1", "bool", "Whether or not the ignition system is currently running for the indexed engine (see note). Depends on TURB_ENG_IGNITION_SWITCH_EX1 Enum, the cfg var ignition_auto_type and current state of the plane."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG IS IGNITING:2", "bool", "Whether or not the ignition system is currently running for the indexed engine (see note). Depends on TURB_ENG_IGNITION_SWITCH_EX1 Enum, the cfg var ignition_auto_type and current state of the plane."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG IS IGNITING:3", "bool", "Whether or not the ignition system is currently running for the indexed engine (see note). Depends on TURB_ENG_IGNITION_SWITCH_EX1 Enum, the cfg var ignition_auto_type and current state of the plane."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG IS IGNITING:4", "bool", "Whether or not the ignition system is currently running for the indexed engine (see note). Depends on TURB_ENG_IGNITION_SWITCH_EX1 Enum, the cfg var ignition_auto_type and current state of the plane."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG ITT:1", "rankine", "Retrieve or set the ITT for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG ITT:2", "rankine", "Retrieve or set the ITT for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG ITT:3", "rankine", "Retrieve or set the ITT for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG ITT:4", "rankine", "Retrieve or set the ITT for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG JET THRUST:1", "pounds", "The indexed engine (see note) jet thrust."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG JET THRUST:2", "pounds", "The indexed engine (see note) jet thrust."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG JET THRUST:3", "pounds", "The indexed engine (see note) jet thrust."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG JET THRUST:4", "pounds", "The indexed engine (see note) jet thrust."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG LOW IDLE:1", "percent", "Retrieves the low idle N1 value to be reached by the the indexed turboprop engine (see note) with throttle in idle position and condition lever in low idle position (condition lever position can be checked or set using the TURB_ENG_CONDITION_LEVER_POSITION SimVar)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG LOW IDLE:2", "percent", "Retrieves the low idle N1 value to be reached by the the indexed turboprop engine (see note) with throttle in idle position and condition lever in low idle position (condition lever position can be checked or set using the TURB_ENG_CONDITION_LEVER_POSITION SimVar)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG LOW IDLE:3", "percent", "Retrieves the low idle N1 value to be reached by the the indexed turboprop engine (see note) with throttle in idle position and condition lever in low idle position (condition lever position can be checked or set using the TURB_ENG_CONDITION_LEVER_POSITION SimVar)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG LOW IDLE:4", "percent", "Retrieves the low idle N1 value to be reached by the the indexed turboprop engine (see note) with throttle in idle position and condition lever in low idle position (condition lever position can be checked or set using the TURB_ENG_CONDITION_LEVER_POSITION SimVar)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG MASTER STARTER SWITCH", "bool", "True if the turbine engine master starter switch is on, false otherwise."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG MAX TORQUE PERCENT:1", "percent", "Percent of max rated torque for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG MAX TORQUE PERCENT:2", "percent", "Percent of max rated torque for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG MAX TORQUE PERCENT:3", "percent", "Percent of max rated torque for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG MAX TORQUE PERCENT:4", "percent", "Percent of max rated torque for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG N1:1", "percent", "The indexed turbine engine (see note) N1 value."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG N1:2", "percent", "The indexed turbine engine (see note) N1 value."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG N1:3", "percent", "The indexed turbine engine (see note) N1 value."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG N1:4", "percent", "The indexed turbine engine (see note) N1 value."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG N2:1", "percent", "The indexed turbine engine (see note) N2 value."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG N2:2", "percent", "The indexed turbine engine (see note) N2 value."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG N2:3", "percent", "The indexed turbine engine (see note) N2 value."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG N2:4", "percent", "The indexed turbine engine (see note) N2 value."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG NUM TANKS USED:1", "number", "Number of tanks currently being used by the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG NUM TANKS USED:2", "number", "Number of tanks currently being used by the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG NUM TANKS USED:3", "number", "Number of tanks currently being used by the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG NUM TANKS USED:4", "number", "Number of tanks currently being used by the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG PRESSURE RATIO:1", "ratio", "The indexed engine (see note) pressure ratio."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG PRESSURE RATIO:2", "ratio", "The indexed engine (see note) pressure ratio."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG PRESSURE RATIO:3", "ratio", "The indexed engine (see note) pressure ratio."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG PRESSURE RATIO:4", "ratio", "The indexed engine (see note) pressure ratio."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG PRIMARY NOZZLE PERCENT:1", "percent over 100", "Percent thrust of primary nozzle for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG PRIMARY NOZZLE PERCENT:2", "percent over 100", "Percent thrust of primary nozzle for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG PRIMARY NOZZLE PERCENT:3", "percent over 100", "Percent thrust of primary nozzle for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG PRIMARY NOZZLE PERCENT:4", "percent over 100", "Percent thrust of primary nozzle for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG REVERSE NOZZLE PERCENT:1", "percent", "Percent thrust reverser nozzles deployed for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG REVERSE NOZZLE PERCENT:2", "percent", "Percent thrust reverser nozzles deployed for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG REVERSE NOZZLE PERCENT:3", "percent", "Percent thrust reverser nozzles deployed for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG REVERSE NOZZLE PERCENT:4", "percent", "Percent thrust reverser nozzles deployed for the indexed engine (see note)."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG TANKS USED:1", "mask", "Fuel tanks used by the indexed engine (see note), one or more of the following bit flags: Center 1 Bit 0 Center 2 Bit 1 Center 3 Bit 2 Left Main Bit 3 Left Aux Bit 4 Left Tip Bit 5 Right Main Bit 6 Right Aux Bit 7 Right Tip Bit 8 External 1 Bit 9 External 2 Bit 10"
"AIRCRAFT ENGINE VARIABLES", "TURB ENG TANKS USED:2", "mask", "Fuel tanks used by the indexed engine (see note), one or more of the following bit flags: Center 1 Bit 0 Center 2 Bit 1 Center 3 Bit 2 Left Main Bit 3 Left Aux Bit 4 Left Tip Bit 5 Right Main Bit 6 Right Aux Bit 7 Right Tip Bit 8 External 1 Bit 9 External 2 Bit 10"
"AIRCRAFT ENGINE VARIABLES", "TURB ENG TANKS USED:3", "mask", "Fuel tanks used by the indexed engine (see note), one or more of the following bit flags: Center 1 Bit 0 Center 2 Bit 1 Center 3 Bit 2 Left Main Bit 3 Left Aux Bit 4 Left Tip Bit 5 Right Main Bit 6 Right Aux Bit 7 Right Tip Bit 8 External 1 Bit 9 External 2 Bit 10"
"AIRCRAFT ENGINE VARIABLES", "TURB ENG TANKS USED:4", "mask", "Fuel tanks used by the indexed engine (see note), one or more of the following bit flags: Center 1 Bit 0 Center 2 Bit 1 Center 3 Bit 2 Left Main Bit 3 Left Aux Bit 4 Left Tip Bit 5 Right Main Bit 6 Right Aux Bit 7 Right Tip Bit 8 External 1 Bit 9 External 2 Bit 10"
"AIRCRAFT ENGINE VARIABLES", "TURB ENG TANK SELECTOR:1", "enum", "Fuel tank selected for the indexed engine (see note). See Fuel Tank Selection for a list of values."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG TANK SELECTOR:2", "enum", "Fuel tank selected for the indexed engine (see note). See Fuel Tank Selection for a list of values."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG TANK SELECTOR:3", "enum", "Fuel tank selected for the indexed engine (see note). See Fuel Tank Selection for a list of values."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG TANK SELECTOR:4", "enum", "Fuel tank selected for the indexed engine (see note). See Fuel Tank Selection for a list of values."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG THROTTLE COMMANDED N1:1", "percent", "The indexed turbine engine (see note) commanded N1 for current throttle position."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG THROTTLE COMMANDED N1:2", "percent", "The indexed turbine engine (see note) commanded N1 for current throttle position."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG THROTTLE COMMANDED N1:3", "percent", "The indexed turbine engine (see note) commanded N1 for current throttle position."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG THROTTLE COMMANDED N1:4", "percent", "The indexed turbine engine (see note) commanded N1 for current throttle position."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG VIBRATION:1", "number", "The indexed utbine engine (see note) vibration value."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG VIBRATION:2", "number", "The indexed utbine engine (see note) vibration value."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG VIBRATION:3", "number", "The indexed utbine engine (see note) vibration value."
"AIRCRAFT ENGINE VARIABLES", "TURB ENG VIBRATION:4", "number", "The indexed utbine engine (see note) vibration value."
"Helicopter Only (DEPRECATED)", "DISK PITCH ANGLE:1", "radians", "Rotor pitch angle of the given rotor index. Index should be specified to 1 for main rotor and 2 for tail rotor."
"Helicopter Only (DEPRECATED)", "DISK PITCH ANGLE:2", "radians", "Rotor pitch angle of the given rotor index. Index should be specified to 1 for main rotor and 2 for tail rotor."
"Helicopter Only (DEPRECATED)", "DISK BANK ANGLE:1", "radians", "Rotor bank angle of the given rotor index. Index should be specified to 1 for main rotor and 2 for tail rotor."
"Helicopter Only (DEPRECATED)", "DISK BANK ANGLE:2", "radians", "Rotor bank angle of the given rotor index. Index should be specified to 1 for main rotor and 2 for tail rotor."
"Helicopter Only (DEPRECATED)", "DISK PITCH PCT:1", "percent over 100", "Rotor pitch percent of the given rotor index. Index should be specified to 1 for main rotor and 2 for tail rotor."
"Helicopter Only (DEPRECATED)", "DISK PITCH PCT:2", "percent over 100", "Rotor pitch percent of the given rotor index. Index should be specified to 1 for main rotor and 2 for tail rotor."
"Helicopter Only (DEPRECATED)", "DISK BANK PCT:1", "percent over 100", "Rotor bank percent of the given rotor index. Index should be specified to 1 for main rotor and 2 for tail rotor."
"Helicopter Only (DEPRECATED)", "DISK BANK PCT:2", "percent over 100", "Rotor bank percent of the given rotor index. Index should be specified to 1 for main rotor and 2 for tail rotor."
"Helicopter Only (DEPRECATED)", "DISK CONING PCT:1", "percent over 100", "Rotor coning percent of the given rotor index. Index should be specified to 1 for main rotor and 2 for tail rotor."
"Helicopter Only (DEPRECATED)", "DISK CONING PCT:2", "percent over 100", "Rotor coning percent of the given rotor index. Index should be specified to 1 for main rotor and 2 for tail rotor."
"Helicopter Only (DEPRECATED)", "ENG ELECTRICAL LOAD", "percent over 100", "Electrical load. Applies only to Bell helicopter."
"Helicopter Only (DEPRECATED)", "ENG FUEL PRESSURE", "psi", "Fuel pressure. Applies only to Bell helicopter."
"Helicopter Only (DEPRECATED)", "ENG ROTOR RPM:1", "number", "Rotor rpm. Returns main rotor rpm for Bell helicopter, or the indexed rotor rpm of other helicopters."
"Helicopter Only (DEPRECATED)", "ENG ROTOR RPM:2", "number", "Rotor rpm. Returns main rotor rpm for Bell helicopter, or the indexed rotor rpm of other helicopters."
"Helicopter Only (DEPRECATED)", "ENG TORQUE PERCENT:1", "percent", "Torque. Returns main rotor torque for Bell helicopter, or the indexed rotor torque of other helicopters."
"Helicopter Only (DEPRECATED)", "ENG TORQUE PERCENT:2", "percent", "Torque. Returns main rotor torque for Bell helicopter, or the indexed rotor torque of other helicopters."
"Helicopter Only (DEPRECATED)", "ENG TRANSMISSION PRESSURE", "psi", "Transmission pressure. Applies only to Bell helicopter."
"Helicopter Only (DEPRECATED)", "ENG TRANSMISSION TEMPERATURE", "degrees", "Transmission temperature. Applies only to Bell helicopter."
"Helicopter Only (DEPRECATED)", "ENG TURBINE TEMPERATURE", "degrees", "Turbine temperature. Applies only to Bell helicopter."
"Helicopter Only (DEPRECATED)", "ROTOR BRAKE ACTIVE", "bool", "Whether the rotor brake is active (1, TRUE) or not (0, FALSE)."
"Helicopter Only (DEPRECATED)", "ROTOR BRAKE HANDLE POS", "percent over 100", "The percentage actuated of the rotor brake handle."
"Helicopter Only (DEPRECATED)", "ROTOR CHIP DETECTED", "bool", "Whether the rotor chip is detected (1,TRUE) or not (0, FALSE)."
"Helicopter Only (DEPRECATED)", "ROTOR CLUTCH ACTIVE", "bool", "Whether the rotor clutch is active (1, TRUE) or not (0, FALSE)."
"Helicopter Only (DEPRECATED)", "ROTOR CLUTCH SWITCH POS", "bool", "The rotor clutch switch position, either on (1 TRUE) or off (0, FALSE)."
"Helicopter Only (DEPRECATED)", "ROTOR GOV ACTIVE", "bool", "Whether the rotor governor is active (1, TRUE) or not (0, FALSE)."
"Helicopter Only (DEPRECATED)", "ROTOR GOV SWITCH POS", "bool", "The rotor governor switch position, either on (1 TRUE) or off (0, FALSE)."
"Helicopter Only (DEPRECATED)", "ROTOR LATERAL TRIM PCT", "percent over 100", "The rotor lateral trim percentage."
"Helicopter Only (DEPRECATED)", "ROTOR ROTATION ANGLE:1", "radians", "Rotor rotation angle of the given rotor index. Index should be specified to 1 for main rotor and 2 for tail rotor."
"Helicopter Only (DEPRECATED)", "ROTOR ROTATION ANGLE:2", "radians", "Rotor rotation angle of the given rotor index. Index should be specified to 1 for main rotor and 2 for tail rotor."
"Helicopter Only (DEPRECATED)", "ROTOR RPM PCT:1", "percent over 100", "Percent max rated rpm of the given rotor index. Index should be specified to 1 for main rotor and 2 for tail rotor."
"Helicopter Only (DEPRECATED)", "ROTOR RPM PCT:2", "percent over 100", "Percent max rated rpm of the given rotor index. Index should be specified to 1 for main rotor and 2 for tail rotor."
"Helicopter Only (DEPRECATED)", "ROTOR TEMPERATURE", "rankine", "The main rotor transmission temperature."
"Cameras", "CAMERA GAMEPLAY PITCH YAW:0", "radians", "Returns either the pitch (index 0) or the yaw (index 1) of the current gameplay camera."
"Cameras", "CAMERA GAMEPLAY PITCH YAW:1", "radians", "Returns either the pitch (index 0) or the yaw (index 1) of the current gameplay camera."
"Cameras", "CAMERA REQUEST ACTION", "enum", "This can be used to have the currently active camera perform a predefined action. Currently only 1 action is supported, but more may be added over time."
"Cameras", "CAMERA STATE", "enum", "This can be used to get or set the camera \"state\", which will be one of the listed enum values. Note that not ALL possible enum values are shown, since some values are internal only, and some values will do nothing, but have been reserved for future expansion of the camera system. Also note that the value \"8\" is a special case, generally used only when working with in-sim panels and is used to go to the showcase cameras, defaulting to the last selected camera within this section (Drone, Fixed or Environment)."
"Cameras", "CAMERA SUBSTATE", "enum", "This variable can be used to get or set the camera \"sub-state\". The options here are generally only required when working with the in-sim panel UI. Note that the \"locked\" and \"unlocked\" state will be changed automatically if the following SimVars have their values changed: COCKPIT_CAMERA_HEADLOOK, CHASE_CAMERA_HEADLOOK."
"Cameras", "CAMERA VIEW TYPE AND INDEX:0", "Enum", ""
"Cameras", "CAMERA VIEW TYPE AND INDEX:1", "Number", ""
"Cameras", "CAMERA VIEW TYPE AND INDEX MAX:0", "number", "This variable can get the number of option indices related to a specific camera view type. The index value supplied to the SimVar should be one of the camera view type Enum values (see CAMERA VIEW TYPE AND INDEX), and the SimVar will return the number of options available for that camera type (counting from 1, so - for example - if the camera view type is \"Quickview\" and has 8 quickview settings, then CAMERA VIEW TYPE AND INDEX MAX:4 will return 8). Note that this value can be set after a flight has started, but it will have no effect since the number of camera options is initilaised once only and not updated (and the simulation may overwrite the value again even after setting it). Please see the Notes On View Types And Indices section below for more information."
"Cameras", "CAMERA VIEW TYPE AND INDEX MAX:1", "number", "This variable can get the number of option indices related to a specific camera view type. The index value supplied to the SimVar should be one of the camera view type Enum values (see CAMERA VIEW TYPE AND INDEX), and the SimVar will return the number of options available for that camera type (counting from 1, so - for example - if the camera view type is \"Quickview\" and has 8 quickview settings, then CAMERA VIEW TYPE AND INDEX MAX:4 will return 8). Note that this value can be set after a flight has started, but it will have no effect since the number of camera options is initilaised once only and not updated (and the simulation may overwrite the value again even after setting it). Please see the Notes On View Types And Indices section below for more information."
"Cameras", "CAMERA VIEW TYPE AND INDEX MAX:2", "number", "This variable can get the number of option indices related to a specific camera view type. The index value supplied to the SimVar should be one of the camera view type Enum values (see CAMERA VIEW TYPE AND INDEX), and the SimVar will return the number of options available for that camera type (counting from 1, so - for example - if the camera view type is \"Quickview\" and has 8 quickview settings, then CAMERA VIEW TYPE AND INDEX MAX:4 will return 8). Note that this value can be set after a flight has started, but it will have no effect since the number of camera options is initilaised once only and not updated (and the simulation may overwrite the value again even after setting it). Please see the Notes On View Types And Indices section below for more information."
"Cameras", "CAMERA VIEW TYPE AND INDEX MAX:3", "number", "This variable can get the number of option indices related to a specific camera view type. The index value supplied to the SimVar should be one of the camera view type Enum values (see CAMERA VIEW TYPE AND INDEX), and the SimVar will return the number of options available for that camera type (counting from 1, so - for example - if the camera view type is \"Quickview\" and has 8 quickview settings, then CAMERA VIEW TYPE AND INDEX MAX:4 will return 8). Note that this value can be set after a flight has started, but it will have no effect since the number of camera options is initilaised once only and not updated (and the simulation may overwrite the value again even after setting it). Please see the Notes On View Types And Indices section below for more information."
"Cameras", "CAMERA VIEW TYPE AND INDEX MAX:4", "number", "This variable can get the number of option indices related to a specific camera view type. The index value supplied to the SimVar should be one of the camera view type Enum values (see CAMERA VIEW TYPE AND INDEX), and the SimVar will return the number of options available for that camera type (counting from 1, so - for example - if the camera view type is \"Quickview\" and has 8 quickview settings, then CAMERA VIEW TYPE AND INDEX MAX:4 will return 8). Note that this value can be set after a flight has started, but it will have no effect since the number of camera options is initilaised once only and not updated (and the simulation may overwrite the value again even after setting it). Please see the Notes On View Types And Indices section below for more information."
"Cameras", "CAMERA VIEW TYPE AND INDEX MAX:5", "number", "This variable can get the number of option indices related to a specific camera view type. The index value supplied to the SimVar should be one of the camera view type Enum values (see CAMERA VIEW TYPE AND INDEX), and the SimVar will return the number of options available for that camera type (counting from 1, so - for example - if the camera view type is \"Quickview\" and has 8 quickview settings, then CAMERA VIEW TYPE AND INDEX MAX:4 will return 8). Note that this value can be set after a flight has started, but it will have no effect since the number of camera options is initilaised once only and not updated (and the simulation may overwrite the value again even after setting it). Please see the Notes On View Types And Indices section below for more information."
"Cameras", "GAMEPLAY CAMERA FOCUS", "enum", "This gets/sets the focus for the camera zoom, which can be either manual, or auto. The setting affects both the Cockpit and the External (Chase) cameras. The following SimVars can be used to get/set the level of zoom: COCKPIT_CAMERA_ZOOM or CHASE_CAMERA_ZOOM."
"Chase (External) Cameras", "CHASE CAMERA HEADLOOK", "enum", "This is used to get/set the look state of the chase (external) camera. Note that this value will also affect the CAMERA_SUBSTATE value, when the CAMERA_STATE is set to 3 (External/Chase)."
"Chase (External) Cameras", "CHASE CAMERA MOMENTUM", "percent over 100", "Sets/gets the momentum modifier of the chase (external) camera, which is controls how fast/slow the camera will stop moving when no longer being moved by the user. Default is 50%."
"Chase (External) Cameras", "CHASE CAMERA SPEED", "percent over 100", "Sets/gets the translation speed modifier of the chase (external) camara, as a percentage. Default is 50%."
"Chase (External) Cameras", "CHASE CAMERA ZOOM", "percent over 100", "Sets/gets the zoom/FOV modifier for the chase (external) camera. Note that when setting this value, it will affect the camera regardless of whether the GAMEPLAY_CAMERA_FOCUS is set to manual or automatic. Default is 50%."
"Chase (External) Cameras", "CHASE CAMERA ZOOM SPEED", "percent over 100", "Sets/gets the speed modifier for when the zoom/FOV chase (external) camera changes zoom/FOV levels. Default is 50%."
